trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Heel bone mineral density (BMD) (left)	Physical measures	0.1224	0.0011	0.0174529411764706		-0.1098	0.0337	-3.2626	0.0011	0.0174529411764706		-0.1186	0.0416	-2.8479	0.0044	0.21758		-0.1224	0.0374	-3.271	0.0011	0.0428566666666667		0.3086	0.0364	1.0342	0.0228	-0.0047	0.0059	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4105
Manifestations of mania or irritability: I was more restless than usual	Mental health	0.2318	0.0012	0.0174529411764706		0.2318	0.0718	3.2302	0.0012	0.0174529411764706		0.1439	0.0629	2.289	0.0221	0.316766666666667		0.1986	0.0655	3.0313	0.0024	0.05375		0.034	0.005	0.9977	0.0069	-0.0062	0.0053	Mania - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548
Particulate matter air pollution (pm2.5); 2010	Lifestyle and environment	0.2223	0.0012	0.0174529411764706		0.2223	0.0685	3.2472	0.0012	0.0174529411764706		0.1806	0.0714	2.5294	0.0114	0.235382		0.2178	0.0679	3.2069	0.0013	0.0428566666666667		0.0133	0.0017	1.0307	0.0073	-0.0027	0.0053	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24006
Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time	Sociodemographics	0.1833	0.0012	0.0174529411764706		-0.1833	0.0565	-3.2443	0.0012	0.0174529411764706		-0.0935	0.0499	-1.8733	0.061	0.40738940397351		-0.1457	0.0521	-2.7953	0.0052	0.0745333333333333		0.0198	0.0016	1.0093	0.0074	0.0125	0.0051	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139
Major dietary changes in the last 5 years: Yes, because of illness	Lifestyle and environment	0.1514	0.0012	0.0174529411764706		0.1514	0.0468	3.2392	0.0012	0.0174529411764706		0.0652	0.0479	1.3608	0.1736	0.560538658146965		0.1104	0.0481	2.2932	0.0218	0.153465517241379		0.0272	0.0017	1.0145	0.007	0.0054	0.0053	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1538
Non-cancer illness code, self-reported: diabetes	Medical history and conditions	0.142	0.0012	0.0174529411764706		0.142	0.0438	3.2418	0.0012	0.0174529411764706		0.0384	0.0445	0.8624	0.3885	0.743184719535783		0.091	0.0446	2.0394	0.0414	0.206790909090909		0.0358	0.0024	1.0433	0.0107	0.0111	0.0054	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Hand grip strength (left)	Physical measures	0.1009	0.0012	0.0174529411764706		-0.1009	0.0311	-3.2442	0.0012	0.0174529411764706		-0.0437	0.029	-1.5067	0.1319	0.509508171206226		-0.0767	0.0286	-2.6793	0.0074	0.0938282051282051		0.1146	0.0041	1.0408	0.0132	-0.0088	0.0054	Hand grip strength - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=46
Ever had period extreme irritability	Mental health	0.2012	0.0013	0.0186333333333333		0.2012	0.0624	3.222	0.0013	0.0186333333333333		0.1205	0.0567	2.1242	0.0337	0.358775531914894		0.1708	0.0593	2.8794	0.004	0.0614378787878788		0.0586	0.0051	1.0029	0.0072	-0.0105	0.0054	Mania - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20502
Manifestations of mania or irritability: I was easily distracted	Mental health	0.312	0.0014	0.0189671232876712		0.312	0.0975	3.2009	0.0014	0.0189671232876712		0.1971	0.0801	2.4613	0.0138	0.252744444444444		0.2709	0.0875	3.0976	0.002	0.0532538461538461		0.021	0.0044	0.998	0.0063	-0.0076	0.0052	Mania - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis	Medical history and conditions	0.2282	0.0014	0.0189671232876712		0.2282	0.0716	3.189	0.0014	0.0189671232876712		0.0775	0.0914	0.8487	0.396	0.748412144212524		0.1592	0.0828	1.9222	0.0546	0.238396506550218		0.0139	0.0018	0.9833	0.0077	-0.0053	0.0049	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Impedance of arm (left)	Physical measures	0.0983	0.0014	0.0189671232876712		-0.0983	0.0308	-3.1901	0.0014	0.0189671232876712		-0.0389	0.0352	-1.1061	0.2687	0.641672619047619		-0.0708	0.0333	-2.1276	0.0334	0.182500552486188		0.2308	0.008	1.1059	0.0219	0.0024	0.0073	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23110
Waist circumference	Physical measures	0.0962	0.0014	0.0189671232876712		0.0962	0.0302	3.189	0.0014	0.0189671232876712		0.0109	0.031	0.3504	0.7261	0.904424307304786		0.0514	0.0303	1.6974	0.0896	0.312022535211268		0.2029	0.0069	1.0555	0.0172	0.0018	0.0067	Body size measures - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=48
Heel quantitative ultrasound index (QUI), direct entry (left)	Physical measures	0.1214	0.0012	0.0195197368421053		-0.1073	0.0337	-3.1804	0.0015	0.0195197368421053		-0.1187	0.0416	-2.8527	0.0043	0.21758		-0.1214	0.0375	-3.2377	0.0012	0.0428566666666667		0.3058	0.0362	1.0348	0.0226	-0.0044	0.0059	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4104
Heel bone mineral density (BMD) T-score, automated (left)	Physical measures	0.1214	0.0012	0.0195197368421053		-0.1073	0.0337	-3.1806	0.0015	0.0195197368421053		-0.1187	0.0416	-2.8529	0.0043	0.21758		-0.1214	0.0375	-3.2379	0.0012	0.0428566666666667		0.3058	0.0362	1.0348	0.0226	-0.0044	0.0059	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4106
Job involves mainly walking or standing	Sociodemographics	0.1296	0.0015	0.0195197368421053		0.1296	0.0408	3.178	0.0015	0.0195197368421053		0.0606	0.0411	1.4765	0.1398	0.518236		0.1003	0.0403	2.4902	0.0128	0.115083636363636		0.0771	0.0043	1.0196	0.0096	-0.005	0.0058	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=806
Alcohol usually taken with meals	Lifestyle and environment	0.1233	0.0016	0.0205506493506494		-0.1233	0.0391	-3.1509	0.0016	0.0205506493506494		-0.0373	0.0388	-0.9616	0.3362	0.715807280513919		-0.0814	0.0383	-2.128	0.0333	0.182500552486188		0.0992	0.0049	1.0338	0.0092	-3e-04	0.0055	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1618
Types of physical activity in last 4 weeks: Strenuous sports	Lifestyle and environment	0.1589	0.0018	0.021709756097561		-0.1589	0.0508	-3.1283	0.0018	0.021709756097561		-0.082	0.0482	-1.7009	0.089	0.437915422885572		-0.1268	0.0474	-2.6745	0.0075	0.0938924050632911		0.0241	0.0016	1.0131	0.007	0.0099	0.0052	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164
Variation in diet	Lifestyle and environment	0.1367	0.0018	0.021709756097561		0.1367	0.0437	3.1257	0.0018	0.021709756097561		0.0294	0.0403	0.7299	0.4654	0.782651016949153		0.0837	0.0414	2.0202	0.0434	0.212488118811881		0.043	0.0024	1.0067	0.0089	0.0012	0.0059	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1548
Chest pain or discomfort	Medical history and conditions	0.1304	0.0018	0.021709756097561		0.1304	0.0417	3.1269	0.0018	0.021709756097561		0.0603	0.0423	1.4242	0.1544	0.533654948805461		0.0986	0.0409	2.4128	0.0158	0.130218333333333		0.0338	0.0021	1.0116	0.0079	0.0011	0.0045	Chest pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2335
Heel broadband ultrasound attenuation (right)	Physical measures	0.124	0.0018	0.021709756097561		-0.1131	0.0362	-3.119	0.0018	0.021709756097561		-0.1188	0.0468	-2.5373	0.0112	0.235382		-0.124	0.0416	-2.9807	0.0029	0.0585326530612245		0.2768	0.0329	1.025	0.0221	-0.0047	0.0064	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4120
Miserableness	Mental health	0.123	0.0018	0.021709756097561		0.123	0.0394	3.1213	0.0018	0.021709756097561		0.0724	0.0495	1.4622	0.1437	0.518236		0.1038	0.0453	2.2905	0.022	0.153465517241379		0.0627	0.0036	1.0094	0.0114	-0.0033	0.0061	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1930
Hand grip strength (right)	Physical measures	0.0975	0.0019	0.0226397590361446		-0.0975	0.0313	-3.1108	0.0019	0.0226397590361446		-0.0392	0.0288	-1.364	0.1726	0.560538658146965		-0.072	0.0286	-2.5203	0.0117	0.113164423076923		0.1146	0.0043	1.0495	0.0138	-0.0081	0.0059	Hand grip strength - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=47
Treatment/medication code: lisinopril	Medications	0.2091	0.0021	0.02415		0.2091	0.0679	3.0815	0.0021	0.02415		0.068	0.0754	0.9019	0.3671	0.7344314		0.1415	0.072	1.9648	0.0494	0.225145622119816		0.013	0.0015	1.0151	0.0076	0.0064	0.0053	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Shortness of breath walking on level ground	Medical history and conditions	0.1738	0.0021	0.02415		0.1738	0.0565	3.0783	0.0021	0.02415		0.0814	0.063	1.2908	0.1968	0.579848104956268		0.1318	0.0594	2.2185	0.0265	0.166077358490566		0.0526	0.0047	1.0027	0.0065	0.0056	0.0048	Breathing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4717
Attendance/disability/mobility allowance: None of the above	Sociodemographics	0.149	0.0021	0.02415		-0.149	0.0485	-3.0717	0.0021	0.02415		-0.1139	0.062	-1.837	0.0662	0.414260377358491		-0.141	0.0561	-2.5138	0.0119	0.113164423076923		0.0335	0.002	1.003	0.0081	-0.0026	0.0058	Other sociodemographic factors - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146
Recent trouble relaxing	Mental health	0.179	0.0021	0.024725		0.179	0.0584	3.0648	0.0022	0.024725		0.1498	0.0576	2.6003	0.0093	0.231570731707317		0.1777	0.0578	3.0748	0.0021	0.0532538461538461		0.0447	0.0045	0.9975	0.0067	-0.0042	0.0053	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20515
Forced vital capacity (FVC)	Physical measures	0.1019	0.0022	0.024725		-0.1019	0.0333	-3.0645	0.0022	0.024725		-0.051	0.0361	-1.4141	0.1573	0.533654948805461		-0.0794	0.0349	-2.2736	0.023	0.154741496598639		0.2076	0.0088	1.1033	0.0209	-0.0196	0.007	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3062
Felt irritable or had angry outbursts in past month	Mental health	0.3506	0.0023	0.0255584269662921		0.3499	0.1147	3.0508	0.0023	0.0255584269662921		0.2984	0.1171	2.5479	0.0108	0.235382		0.3506	0.1201	2.9198	0.0035	0.0614378787878788		0.0321	0.0094	1.0127	0.0067	-0.0058	0.0049	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20494
Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease	Medical history and conditions	0.1961	0.0024	0.0263733333333333		0.1961	0.0645	3.0386	0.0024	0.0263733333333333		0.0993	0.0709	1.4011	0.1612	0.534989261744966		0.1501	0.0668	2.2486	0.0245	0.160308496732026		0.0101	0.0014	1.0008	0.0059	-0.0057	0.0045	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Manifestations of mania or irritability: My thoughts were racing	Mental health	0.2335	0.0025	0.0271703296703297		0.2335	0.0774	3.0189	0.0025	0.0271703296703297		0.1114	0.0709	1.5702	0.1164	0.494075536480687		0.181	0.0723	2.5045	0.0123	0.113688785046729		0.0278	0.005	1.0065	0.008	-0.0063	0.0051	Mania - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548
Duration of walks	Lifestyle and environment	0.1398	0.0026	0.02795		0.1398	0.0463	3.0166	0.0026	0.02795		0.0573	0.0442	1.2967	0.1947	0.576521856287425		0.1025	0.0465	2.205	0.0275	0.168496296296296		0.0454	0.0026	1.0063	0.0082	-0.0092	0.0055	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=874
Mood swings	Mental health	0.1164	0.0027	0.0287129032258065		0.1164	0.0389	2.9945	0.0027	0.0287129032258065		0.0738	0.0469	1.5732	0.1157	0.493221120689655		0.1021	0.0438	2.331	0.0198	0.150564179104478		0.0704	0.0032	1.0138	0.0098	-9e-04	0.0064	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1920
Treatment/medication code: simvastatin	Medications	0.1438	0.0028	0.0291494736842105		0.1438	0.0482	2.9848	0.0028	0.0291494736842105		0.0847	0.0487	1.7397	0.0819	0.423415625		0.1179	0.0477	2.4736	0.0134	0.119392792792793		0.0294	0.0027	1.0284	0.0148	0.0114	0.0053	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Cereal intake	Lifestyle and environment	0.1144	0.0028	0.0291494736842105		-0.1144	0.0383	-2.9861	0.0028	0.0291494736842105		-0.0842	0.0421	-1.9987	0.0456	0.387289075630252		-0.1045	0.0408	-2.5593	0.0105	0.107056701030928		0.0589	0.0027	1.0257	0.0093	-0.003	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1458
Attendance/disability/mobility allowance: Disability living allowance	Sociodemographics	0.1447	0.0029	0.0295680412371134		0.1447	0.0486	2.9761	0.0029	0.0295680412371134		0.1125	0.058	1.9407	0.0523	0.400164615384615		0.1385	0.0537	2.5792	0.0099	0.107056701030928		0.028	0.0016	0.9938	0.0072	0.0027	0.0055	Other sociodemographic factors - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146
Standing height	Physical measures	0.0801	0.0029	0.0295680412371134		-0.0801	0.0269	-2.9749	0.0029	0.0295680412371134		-0.0575	0.0265	-2.1676	0.0302	0.355569047619048		-0.0726	0.0265	-2.7371	0.0062	0.0828621621621622		0.4684	0.0235	1.2616	0.0662	-0.0243	0.0079	Body size measures - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=50
Workplace very cold: Rarely/never	Work environment	0.2043	0.0032	0.0322938775510204		-0.2043	0.0693	-2.9507	0.0032	0.0322938775510204		-0.1394	0.0743	-1.8766	0.0606	0.40738940397351		-0.1831	0.068	-2.6909	0.0071	0.0923934210526316		0.0366	0.0058	1.0033	0.0066	0.0069	0.0047	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22607
Number of unsuccessful stop-smoking attempts	Lifestyle and environment	0.2165	0.0033	0.0329666666666667		0.2165	0.0737	2.9364	0.0033	0.0329666666666667		0.0848	0.0799	1.0614	0.2885	0.661622685185185		0.159	0.075	2.1201	0.034	0.1832875		0.0462	0.0065	1.0102	0.0068	-0.0036	0.005	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2926
Nitrogen oxides air pollution; 2010	Lifestyle and environment	0.2036	0.0023	0.033626		0.1911	0.0652	2.9311	0.0034	0.033626		0.1814	0.07	2.5932	0.0095	0.231570731707317		0.2036	0.0667	3.052	0.0023	0.05375		0.0143	0.0017	1.0284	0.0075	-0.002	0.0052	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24004
Maternal smoking around birth	Family history and early life factors	0.1223	0.0036	0.0349058823529412		0.1223	0.042	2.911	0.0036	0.0349058823529412		0.0783	0.0418	1.8744	0.0609	0.40738940397351		0.1047	0.04	2.6184	0.0088	0.100036781609195		0.0466	0.0026	1.0263	0.0088	0.0016	0.0056	Early life factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787
Time spend outdoors in summer	Lifestyle and environment	0.1164	0.0036	0.0349058823529412		0.1164	0.0399	2.9136	0.0036	0.0349058823529412		0.0533	0.0379	1.408	0.1591	0.534395254237288		0.0912	0.039	2.3361	0.0195	0.150564179104478		0.0738	0.0033	1.0116	0.0094	-0.0063	0.0062	Sun exposure - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1050
Impedance of arm (right)	Physical measures	0.0894	0.0037	0.0355271844660194		-0.0894	0.0308	-2.8987	0.0037	0.0355271844660194		-0.024	0.036	-0.6667	0.505	0.803207028753994		-0.0575	0.0339	-1.6982	0.0895	0.312022535211268		0.2347	0.008	1.0895	0.0224	0.0057	0.0072	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23109
Diastolic blood pressure, automated reading	Physical measures	0.1043	0.0039	0.0370875		0.1043	0.0361	2.8878	0.0039	0.0370875		0.0462	0.0413	1.1199	0.2628	0.641672619047619		0.0768	0.0394	1.9466	0.0516	0.23194932735426		0.1351	0.0057	1.0657	0.0163	0.0243	0.0068	Blood pressure - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4079
Ever had breast cancer screening / mammogram	Maternity and sex-specific factors	0.3637	0.0041	0.037896261682243		-0.3637	0.1267	-2.8697	0.0041	0.037896261682243		-0.0596	0.1055	-0.5649	0.5722	0.83835		-0.212	0.1131	-1.8734	0.061	0.252422594142259		0.0079	0.0023	0.9971	0.0062	0.0105	0.0053	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2674
Mother's age at death	Family history and early life factors	0.24	0.0041	0.037896261682243		-0.24	0.0835	-2.8736	0.0041	0.037896261682243		-0.1428	0.0951	-1.5018	0.1331	0.510216666666667		-0.2011	0.0907	-2.216	0.0267	0.166077358490566		0.0191	0.0029	1.0197	0.0075	0.0044	0.0054	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3526
Hands-free device/speakerphone use with mobile phone in last 3 month	Lifestyle and environment	0.1509	0.0041	0.037896261682243		-0.1509	0.0526	-2.867	0.0041	0.037896261682243		-0.0968	0.0715	-1.3537	0.1758	0.560538658146965		-0.1293	0.0635	-2.0354	0.0418	0.207739698492462		0.0272	0.0028	0.9973	0.0089	0.0071	0.0051	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1130
Cereal type: Other (e.g. Cornflakes, Frosties)	Lifestyle and environment	0.1555	0.0016	0.0381082568807339		0.1426	0.0498	2.8623	0.0042	0.0381082568807339		0.1426	0.0491	2.903	0.0037	0.21758		0.1555	0.0492	3.1616	0.0016	0.0465411764705882		0.0364	0.0023	1.0137	0.0081	-0.0082	0.0053	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1468
Time from waking to first cigarette	Lifestyle and environment	0.2579	0.0028	0.0381082568807339		-0.2483	0.0868	-2.8602	0.0042	0.0381082568807339		-0.2306	0.0865	-2.6664	0.0077	0.231570731707317		-0.2579	0.0863	-2.989	0.0028	0.0585326530612245		0.093	0.0236	1.0142	0.0074	0.0081	0.0051	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3466
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above	Medications	0.1223	0.0046	0.0413581818181818		-0.1223	0.0431	-2.8356	0.0046	0.0413581818181818		-0.0683	0.0542	-1.2599	0.2077	0.589149283667622		-0.0959	0.0496	-1.9326	0.0533	0.235329017857143		0.0686	0.0044	1.0175	0.0095	-0.0156	0.0054	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153
Exposure to tobacco smoke outside home	Lifestyle and environment	0.1597	0.0047	0.0418765765765766		0.1597	0.0564	2.8293	0.0047	0.0418765765765766		0.0741	0.059	1.256	0.2091	0.589173504273504		0.122	0.0572	2.1328	0.0329	0.181777094972067		0.0295	0.0023	1.016	0.0084	-2e-04	0.0057	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1279
Mean time to correctly identify matches	Cognitive function	0.1155	2e-04	0.0428566666666667		0.0564	0.0306	1.8438	0.0652	0.204707301587302		0.1155	0.0305	3.781	2e-04	0.0659333333333333		0.0967	0.0295	3.2745	0.0011	0.0428566666666667		0.0826	0.0031	1.0259	0.01	0.0139	0.0054	Reaction time - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20023
