trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
COPD differential diagnosis	Medical history and conditions	0.1722	0.001	0.0159516129032258		0.1722	0.0525	3.2796	0.001	0.0159516129032258		0.0418	0.0617	0.677	0.4984	0.813395379537954		0.1074	0.0571	1.8799	0.0601	0.261845374449339		0.0139	0.0017	1.0028	0.0073	0.0035	0.0053	NA	NA
Diabetes diagnosed by doctor	Medical history and conditions	0.1221	0.001	0.0159516129032258		0.1221	0.0372	3.2831	0.001	0.0159516129032258		0.0339	0.0355	0.9565	0.3388	0.730535637149028		0.0753	0.0361	2.0858	0.037	0.204356906077348		0.0433	0.0027	1.0479	0.0112	0.0153	0.0055	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2443
Forced vital capacity (FVC)	Physical measures	0.0967	0.001	0.0159516129032258		-0.0967	0.0295	-3.2775	0.001	0.0159516129032258		-0.0482	0.0304	-1.5834	0.1133	0.476824255319149		-0.073	0.0298	-2.4501	0.0143	0.144394		0.2076	0.0088	1.1035	0.0209	-0.02	0.0075	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3062
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis	Medical history and conditions	0.2061	0.0012	0.0182584615384615		0.2061	0.0636	3.2393	0.0012	0.0182584615384615		0.0461	0.0787	0.5859	0.5579	0.855095208655332		0.1226	0.0721	1.7017	0.0888	0.320522627737226		0.0139	0.0018	0.9833	0.0077	-0.0045	0.0051	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Own or rent accommodation lived in: Rent - from local authority, local council, housing association	Sociodemographics	0.1194	0.0012	0.0182584615384615		0.1194	0.0369	3.2325	0.0012	0.0182584615384615		0.0456	0.0333	1.3702	0.1706	0.546350485436893		0.0815	0.0342	2.3817	0.0172	0.156814414414414		0.0365	0.0019	1.013	0.0083	8e-04	0.0056	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680
Time spend outdoors in summer	Lifestyle and environment	0.1174	0.0012	0.0182584615384615		0.1174	0.0364	3.2307	0.0012	0.0182584615384615		0.0593	0.0334	1.774	0.0761	0.388972680412371		0.0891	0.0351	2.5379	0.0112	0.1288		0.0739	0.0033	1.0115	0.0094	-0.0074	0.0063	Sun exposure - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1050
Manifestations of mania or irritability: I was more restless than usual	Mental health	0.2044	0.0013	0.0189073529411765		0.2044	0.0638	3.2058	0.0013	0.0189073529411765		0.111	0.0553	2.0064	0.0448	0.323166197183099		0.1622	0.0579	2.8007	0.0051	0.0800619047619048		0.034	0.005	0.9976	0.0069	-0.0051	0.0053	Mania - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548
Average weekly spirits intake	Lifestyle and environment	0.1544	0.0013	0.0189073529411765		0.1544	0.048	3.2141	0.0013	0.0189073529411765		0.1288	0.0444	2.9014	0.0037	0.12618275862069		0.148	0.046	3.2143	0.0013	0.0338342105263158		0.0336	0.0027	0.9954	0.0079	-0.0038	0.0051	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1598
Non-cancer illness code, self-reported: asthma	Medical history and conditions	0.1204	0.0013	0.0189073529411765		0.1204	0.0375	3.2113	0.0013	0.0189073529411765		0.0313	0.0352	0.8912	0.3728	0.754689249492901		0.0744	0.0357	2.0872	0.0369	0.204356906077348		0.0568	0.0056	1.0295	0.0151	-0.0122	0.0063	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Chest pain or discomfort when walking uphill or hurrying	Medical history and conditions	0.2447	0.0015	0.0206041666666667		0.2447	0.0773	3.167	0.0015	0.0206041666666667		0.1545	0.0681	2.2671	0.0234	0.300553246753247		0.2029	0.0711	2.8534	0.0043	0.0746087719298246		0.0453	0.0106	1.0099	0.0066	0.0011	0.0046	Chest pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3751
Hearing difficulty/problems with background noise	Medical history and conditions	0.1259	0.0015	0.0206041666666667		0.1259	0.0396	3.1812	0.0015	0.0206041666666667		0.0891	0.0347	2.5675	0.0102	0.203505769230769		0.1107	0.0364	3.0437	0.0023	0.0483978723404255		0.051	0.0024	1.0223	0.0086	-0.0078	0.0061	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2257
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	Medical history and conditions	0.1179	0.0015	0.0206041666666667		0.1179	0.0372	3.1662	0.0015	0.0206041666666667		0.0266	0.0349	0.7613	0.4465	0.799280639431616		0.0709	0.0354	2.0022	0.0453	0.226271212121212		0.056	0.0055	1.0292	0.0148	-0.0121	0.0063	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Illnesses of siblings: None of the above (group 1)	Family history and early life factors	0.1143	0.0015	0.0206041666666667		-0.1143	0.036	-3.1773	0.0015	0.0206041666666667		-0.0308	0.0405	-0.761	0.4467	0.799280639431616		-0.0707	0.037	-1.912	0.0559	0.250368468468468		0.0372	0.0024	1.012	0.0077	-0.0068	0.005	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Drive faster than motorway speed limit	Lifestyle and environment	0.1164	7e-04	0.0230766666666667		-0.1014	0.0332	-3.0564	0.0022	0.0267611764705882		-0.1156	0.0362	-3.1926	0.0014	0.0923066666666667		-0.1164	0.0343	-3.3927	7e-04	0.0230766666666667		0.0609	0.0029	1.0199	0.0093	0.0071	0.0055	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1100
Chest pain or discomfort walking normally	Medical history and conditions	0.2042	3e-04	0.0239757575757576		0.1697	0.0669	2.5367	0.0112	0.0748432432432432		0.2042	0.057	3.5802	3e-04	0.0423857142857143		0.203	0.0605	3.3522	8e-04	0.0239757575757576		0.0777	0.0088	1.0007	0.007	-0.0038	0.0061	Chest pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3606
Comparative height size at age 10	Family history and early life factors	0.0776	7e-04	0.0239757575757576		-0.0737	0.0274	-2.6918	0.0071	0.0561752		-0.0721	0.0212	-3.3936	7e-04	0.0629363636363636		-0.0776	0.0233	-3.3363	8e-04	0.0239757575757576		0.241	0.0121	1.112	0.0369	7e-04	0.0073	Early life factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697
Tense, sore, or aching muscles during worst period of anxiety	Mental health	0.2364	0.0019	0.0250546666666667		0.2364	0.0761	3.1072	0.0019	0.0250546666666667		0.0236	0.0678	0.3474	0.7283	0.915233418043202		0.1189	0.0707	1.681	0.0928	0.33133285198556		0.0735	0.015	0.9952	0.0066	-0.0095	0.0052	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20417
Treatment/medication code: atorvastatin	Medications	0.1744	0.0019	0.0250546666666667		0.1744	0.0561	3.1094	0.0019	0.0250546666666667		0.1152	0.0495	2.33	0.0198	0.264624324324324		0.1505	0.052	2.891	0.0038	0.0695962962962963		0.0134	0.002	1.026	0.0097	0.0096	0.0054	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Time spent using computer	Lifestyle and environment	0.0979	0.0019	0.0250546666666667		-0.0979	0.0315	-3.1046	0.0019	0.0250546666666667		-0.0485	0.0266	-1.823	0.0683	0.377367039106145		-0.0741	0.0286	-2.5893	0.0096	0.114025882352941		0.0961	0.0039	1.0336	0.0095	0.0117	0.0062	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1080
Current tobacco smoking	Lifestyle and environment	0.1137	0.002	0.0256883116883117		0.1137	0.0369	3.0836	0.002	0.0256883116883117		0.0668	0.0396	1.686	0.0918	0.420211059907834		0.0917	0.0377	2.4313	0.015	0.145441176470588		0.053	0.0025	1.014	0.0087	0.0082	0.0069	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1239
Alcohol usually taken with meals	Lifestyle and environment	0.1052	0.002	0.0256883116883117		-0.1052	0.034	-3.0962	0.002	0.0256883116883117		-0.036	0.0316	-1.1378	0.2552	0.657877662337662		-0.0692	0.0318	-2.1763	0.0295	0.195162666666667		0.0992	0.0049	1.0337	0.0092	3e-04	0.0059	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1618
Illnesses of mother: None of the above (group 1)	Family history and early life factors	0.1456	0.0021	0.0262898734177215		-0.1456	0.0474	-3.0725	0.0021	0.0262898734177215		-0.0213	0.047	-0.4536	0.6501	0.894226564673157		-0.0801	0.0454	-1.7668	0.0773	0.297469649805447		0.0175	0.0017	1.0149	0.0075	-0.0015	0.0048	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Glycated haemoglobin (mmol/mol)	Biological samples	0.0871	0.0021	0.0262898734177215		0.0871	0.0284	3.0708	0.0021	0.0262898734177215		0.046	0.0322	1.4256	0.154	0.538112152777778		0.0678	0.0305	2.2243	0.0261	0.184377857142857		0.1769	0.0199	1.2572	0.1084	0.0145	0.0071	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30750
Frequency of tenseness / restlessness in last 2 weeks	Mental health	0.1283	0.0022	0.0267611764705882		0.1283	0.0418	3.0676	0.0022	0.0267611764705882		0.0984	0.041	2.397	0.0165	0.240381944444444		0.1198	0.0419	2.861	0.0042	0.0746087719298246		0.0431	0.0025	1.0103	0.0096	0.0014	0.0066	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2070
Mother's age at death	Family history and early life factors	0.2143	0.0023	0.0267611764705882		-0.2143	0.0702	-3.0508	0.0023	0.0267611764705882		-0.1062	0.0762	-1.3929	0.1636	0.544281879194631		-0.1607	0.0726	-2.2147	0.0268	0.186656338028169		0.0191	0.0029	1.0198	0.0075	-0.0019	0.0057	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3526
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)	Medical history and conditions	0.1993	0.0023	0.0267611764705882		0.1993	0.0655	3.0434	0.0023	0.0267611764705882		0.0352	0.07	0.5031	0.6149	0.880081186685962		0.117	0.0675	1.7326	0.0832	0.30818277153558		0.0095	0.0016	1.0147	0.0097	-0.0077	0.0053	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Exposure to tobacco smoke outside home	Lifestyle and environment	0.1466	0.0023	0.0267611764705882		0.1466	0.048	3.0539	0.0023	0.0267611764705882		0.0941	0.051	1.845	0.065	0.371573446327684		0.1229	0.0492	2.4994	0.0124	0.137793258426966		0.0295	0.0023	1.016	0.0084	0.0011	0.0054	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1279
Impedance of arm (left)	Physical measures	0.0815	0.0023	0.0267611764705882		-0.0815	0.0267	-3.0502	0.0023	0.0267611764705882		-0.0229	0.0302	-0.7581	0.4484	0.799280639431616		-0.0505	0.0284	-1.7771	0.0756	0.2967		0.2309	0.008	1.1059	0.022	0.0023	0.008	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23110
Attendance/disability/mobility allowance: Disability living allowance	Sociodemographics	0.1349	0.0024	0.0276		0.1349	0.0444	3.0382	0.0024	0.0276		0.0896	0.0505	1.776	0.0757	0.388972680412371		0.1167	0.0477	2.4469	0.0144	0.144394		0.028	0.0016	0.9936	0.0072	0.0038	0.0055	Other sociodemographic factors - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146
Felt irritable or had angry outbursts in past month	Mental health	0.3025	0.0026	0.0292204545454545		0.3025	0.1004	3.0147	0.0026	0.0292204545454545		0.2549	0.0997	2.5563	0.0106	0.203505769230769		0.2962	0.1016	2.917	0.0035	0.0678725490196078		0.0321	0.0094	1.0127	0.0067	-0.0062	0.005	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20494
Cereal type: Muesli	Lifestyle and environment	0.1118	0.0026	0.0292204545454545		-0.1118	0.0371	-3.0141	0.0026	0.0292204545454545		-0.0535	0.0342	-1.5646	0.1177	0.479222764227642		-0.0828	0.0351	-2.3575	0.0184	0.160286206896552		0.051	0.0025	1.021	0.0078	3e-04	0.0057	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1468
Chest pain or discomfort	Medical history and conditions	0.1162	0.0027	0.0300033707865169		0.1162	0.0388	2.9951	0.0027	0.0300033707865169		0.0567	0.0378	1.5019	0.1331	0.519319011406844		0.0859	0.038	2.261	0.0238	0.178319696969697		0.0338	0.0021	1.0117	0.0079	0.002	0.005	Chest pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2335
Townsend deprivation index at recruitment	Sociodemographics	0.1307	0.0028	0.0304307692307692		0.1307	0.0437	2.9881	0.0028	0.0304307692307692		0.0732	0.0374	1.957	0.0504	0.327931578947368		0.1054	0.0397	2.657	0.0079	0.100167948717949		0.0334	0.0019	1.0192	0.007	0.003	0.0058	Baseline characteristics - Population characteristics	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=189
Smoking status: Current	Lifestyle and environment	0.1136	0.0028	0.0304307692307692		0.1136	0.038	2.9935	0.0028	0.0304307692307692		0.0672	0.041	1.6415	0.1007	0.44067389380531		0.0923	0.0389	2.373	0.0176	0.156814414414414		0.0499	0.0024	1.0149	0.0085	0.0085	0.0068	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20116
Bread type: Wholemeal or wholegrain	Lifestyle and environment	0.1157	0.0011	0.0310828571428571		-0.1044	0.0369	-2.8249	0.0047	0.0418765765765766		-0.1128	0.0353	-3.1993	0.0014	0.0923066666666667		-0.1157	0.0356	-3.2513	0.0011	0.0310828571428571		0.0478	0.0026	1.0333	0.0093	-0.0021	0.0064	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1448
Cereal intake	Lifestyle and environment	0.1048	0.0029	0.031175		-0.1048	0.0351	-2.9833	0.0029	0.031175		-0.067	0.0365	-1.8347	0.0665	0.371573446327684		-0.0879	0.0363	-2.422	0.0154	0.147869902912621		0.0589	0.0027	1.0258	0.0093	-0.0109	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1458
Leg pain on walking	Medical history and conditions	0.1445	0.003	0.031563829787234		0.1445	0.0487	2.9648	0.003	0.031563829787234		0.0409	0.0548	0.7474	0.4548	0.799280639431616		0.0882	0.0507	1.7416	0.0816	0.306776603773585		0.0537	0.005	1.015	0.0072	-0.0075	0.005	Claudication and peripheral artery disease - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4728
Hand grip strength (left)	Physical measures	0.0828	0.003	0.031563829787234		-0.0828	0.0279	-2.9654	0.003	0.031563829787234		-0.0501	0.0244	-2.0473	0.0406	0.323166197183099		-0.0686	0.0249	-2.7489	0.006	0.086		0.1145	0.0041	1.0412	0.0132	-0.0141	0.0058	Hand grip strength - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=46
Diagnoses - main ICD10: M25 Other joint disorders, not elsewhere classified	Medical history and conditions	0.3131	0.0031	0.0322726315789474		0.3131	0.1058	2.9584	0.0031	0.0322726315789474		0.0985	0.092	1.07	0.2846	0.689875980392157		0.1982	0.0952	2.0816	0.0374	0.204356906077348		0.0042	0.0013	1.0102	0.0066	-0.0066	0.0049	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease	Medical history and conditions	0.1662	0.0032	0.0329666666666667		0.1662	0.0563	2.9519	0.0032	0.0329666666666667		0.0754	0.0576	1.3091	0.1905	0.570576923076923		0.119	0.056	2.1243	0.0336	0.200127058823529		0.0101	0.0014	1.0009	0.0059	-0.003	0.0047	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Mood swings	Mental health	0.1038	0.0033	0.0336463917525773		0.1038	0.0353	2.942	0.0033	0.0336463917525773		0.0733	0.0404	1.8154	0.0695	0.381863888888889		0.0931	0.0382	2.4368	0.0148	0.144922772277228		0.0704	0.0032	1.0138	0.0098	-0.0028	0.0067	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1920
Vascular/heart problems diagnosed by doctor: Stroke	Medical history and conditions	0.2813	0.0035	0.0353214285714286		0.2813	0.0962	2.9228	0.0035	0.0353214285714286		0.2453	0.0958	2.5613	0.0104	0.203505769230769		0.2784	0.0962	2.8941	0.0038	0.0695962962962963		0.0041	0.0012	1.0056	0.0065	0.0064	0.0051	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Other specific joint derangements/joint disorders	Medical history and conditions	0.3058	0.0037	0.036593		0.3058	0.1054	2.9002	0.0037	0.036593		0.0844	0.0969	0.8707	0.3839	0.758430738522954		0.1876	0.0982	1.9099	0.0561	0.250368468468468		0.0045	0.0014	1.013	0.0067	-0.0058	0.0051	NA	NA
Medication for pain relief, constipation, heartburn: None of the above	Medications	0.1064	0.0037	0.036593		-0.1064	0.0367	-2.9004	0.0037	0.036593		-0.0693	0.0321	-2.1609	0.0307	0.323166197183099		-0.0891	0.0335	-2.6618	0.0078	0.100167948717949		0.0545	0.0025	1.0259	0.0091	-0.0115	0.0061	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Major dietary changes in the last 5 years: Yes, because of illness	Lifestyle and environment	0.1261	0.0039	0.0378147058823529		0.1261	0.0437	2.8864	0.0039	0.0378147058823529		0.0483	0.0397	1.2168	0.2237	0.62580790960452		0.0872	0.0414	2.1088	0.035	0.202426900584795		0.0272	0.0017	1.0146	0.007	0.0087	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1538
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication	Medications	0.1204	0.0039	0.0378147058823529		0.1204	0.0417	2.8849	0.0039	0.0378147058823529		0.0441	0.0389	1.1357	0.2561	0.657877662337662		0.08	0.0398	2.0114	0.0443	0.225838659793814		0.0536	0.0057	1.0245	0.0156	0.0069	0.0053	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153
Reason for reducing amount of alcohol drunk: Other reason	Lifestyle and environment	0.1596	0.0016	0.0385951219512195		-0.146	0.053	-2.7557	0.0059	0.04945		-0.1427	0.0501	-2.8487	0.0044	0.143564516129032		-0.1596	0.0505	-3.1602	0.0016	0.0385951219512195		0.0416	0.0043	1.004	0.0067	-0.0051	0.0057	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2664
Non-cancer illness code, self-reported: deep venous thrombosis (dvt)	Medical history and conditions	0.1865	0.0041	0.0389894230769231		0.1865	0.065	2.8712	0.0041	0.0389894230769231		0.0245	0.0715	0.3422	0.7322	0.917802027883397		0.1033	0.0684	1.5112	0.1307	0.385857611940299		0.0096	0.0017	1.0133	0.0095	-0.0078	0.0053	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Tense / 'highly strung'	Mental health	0.1112	0.0041	0.0389894230769231		0.1105	0.0385	2.87	0.0041	0.0389894230769231		0.0969	0.0449	2.1569	0.031	0.323166197183099		0.1112	0.0417	2.664	0.0077	0.100167948717949		0.0562	0.0031	0.9964	0.0098	0.0024	0.0066	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1990
Workplace very cold: Sometimes	Work environment	0.168	0.0043	0.0401198113207547		0.168	0.0589	2.8526	0.0043	0.0401198113207547		0.0538	0.0605	0.8897	0.3736	0.754689249492901		0.1098	0.0589	1.8646	0.0622	0.268627947598253		0.0491	0.0059	1.0012	0.0074	-0.0072	0.0051	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22607
